Assembly	Best match locus	Best match type	Match confidence	Problems	Identity	Coverage	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details	Truncated genes, details	Extra genes, details
ERS686708	KL33	K33	Typeable		100.00%	100.00%	0 bp	19 / 21 (90.48%)	KL33_01_galF,100.00%,100.00%;KL33_02_cpsACP,100.00%,100.00%;KL33_03,100.00%,100.00%;KL33_04,100.00%,100.00%;KL33_05,100.00%,100.00%;KL33_06_wza,100.00%,100.00%;KL33_07_wzb,100.00%,100.00%;KL33_08_wzc,100.00%,100.00%;KL33_09_wckM,100.00%,100.00%;KL33_10_wckL,100.00%,100.00%;KL33_11_wcuQ,100.00%,100.00%;KL33_12_wzx,100.00%,100.00%;KL33_13_wckK,100.00%,100.00%;KL33_14_manC,100.00%,100.00%;KL33_15_manB,100.00%,100.00%;KL33_16_wbaZ,100.00%,100.00%;KL33_17_wcaJ,100.00%,100.00%;KL33_18_wzy,100.00%,100.00%;KL33_19_wckJ,100.00%,100.00%;KL33_20_gnd,100.00%,100.00%;KL33_21_ugd,100.00%,100.00%		0		0 / 21 (0.00%)		4	KL50_10,99.43%,100.00%;KL137_18_manC,99.58%,100.00%;KL49_18_manB,100.00%,3.85%;KL150_19_gmd,98.20%,100.00%		
ERS686709	KL35	K35	Untypeable	-+*!	92.18%	96.78%	147 bp	19 / 20 (95.00%)	KL35_01_galF,92.44%,97.65%;KL35_03_wzi,92.65%,94.13%,truncated;KL35_04_wza,96.82%,100.00%;KL35_05_wzb,96.53%,100.00%;KL35_06_wzc,94.31%,100.14%;KL35_07_wzy,92.48%,99.01%;KL35_08_wcuC,85.71%,100.00%;KL35_09_wckM,86.05%,100.00%;KL35_10_wckL,79.09%,100.00%,below_id_threshold;KL35_11_wcuQ,90.36%,100.00%;KL35_12_wzx,90.00%,100.00%;KL35_13_wckK,96.31%,99.69%;KL35_14_wbaZ,92.71%,100.00%;KL35_15_wcaJ,95.48%,100.00%;KL35_16_wclK,82.35%,99.17%,below_id_threshold;KL35_17_gnd,97.22%,100.00%;KL35_18_manC,96.82%,100.00%;KL35_19_manB,96.25%,99.34%;KL35_20_ugd,97.94%,100.00%	KL35_02_cpsACP	1	KL72_02_cpsACP,97.61%,100.00%	0 / 20 (0.00%)		1	KL150_19_gmd,89.67%,98.50%	KL35_03_wzi,92.65%,94.13%,truncated	
ERS686710	KL39	Capsule null	Typeable	+!	99.79%	99.27%	2132 bp	18 / 20 (90.00%)	KL39_01_galF,99.66%,100.00%;KL39_02_cpsACP,99.52%,100.00%;KL39_03_wzi,100.00%,75.05%,truncated;KL39_04_wza,100.00%,85.19%,truncated;KL39_05_wzb,100.00%,100.00%;KL39_06_wzc,99.58%,100.00%;KL39_07,99.18%,100.00%;KL39_08_wzy,100.00%,100.00%;KL39_09_mshA,99.10%,100.00%;KL39_10_epsH,100.00%,100.00%;KL39_11_epsJ,99.70%,100.00%;KL39_12_wzx,100.00%,100.00%;KL39_13,100.00%,100.00%;KL39_14,99.69%,100.00%;KL39_15_wbaZ,100.00%,100.00%;KL39_16_wcaJ,100.00%,100.00%;KL39_17_gnd,99.79%,100.00%;KL39_18_manC,100.00%,100.00%;KL39_19_manB,99.78%,100.00%;KL39_20_ugd,99.74%,100.00%		1	KL2_04_wza,100.00%,15.34%,truncated	0 / 20 (0.00%)		4	KL40_03_wcpO,97.77%,100.00%;KL40_04,99.00%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,99.40%,100.00%	KL39_03_wzi,100.00%,75.05%,truncated;KL39_04_wza,100.00%,85.19%,truncated;KL2_04_wza,100.00%,15.34%,truncated	
ERS686711	KL41	K41	Typeable	+!	99.97%	98.85%	1662 bp	20 / 22 (90.91%)	KL41_01_galF,100.00%,100.00%;KL41_02_cpsACP,100.00%,100.00%;KL41_03_wzi,100.00%,100.00%;KL41_04_wza,100.00%,100.00%;KL41_05_wzb,100.00%,100.00%;KL41_06_wzc,100.00%,100.00%;KL41_07_wbaP,100.00%,100.00%;KL41_08_wcaA,100.00%,100.00%;KL41_09_wclN,100.00%,100.00%;KL41_10_wclM,100.00%,100.00%;KL41_11,100.00%,100.00%;KL41_12_wzy,100.00%,100.00%;KL41_13_wckF,100.00%,100.00%;KL41_14_glf,100.00%,100.00%;KL41_15_gnd,100.00%,100.00%;KL41_16,100.00%,68.06%,truncated;KL41_17_wzx,100.00%,100.00%;KL41_18_gnd,100.00%,100.00%;KL41_19_rmlB,99.44%,100.00%;KL41_20_rmlA,100.00%,100.00%;KL41_21_rmlD,100.00%,100.00%;KL41_22_rmlC,100.00%,100.00%		1	KL186_21_ugd,100.00%,100.00%	0 / 22 (0.00%)		1	KL150_19_gmd,86.85%,97.90%	KL41_16,100.00%,68.06%,truncated	
ERS701896	KL31	K31	Typeable		99.86%	100.00%	-1 bp	20 / 20 (100.00%)	KL31_01_galF,100.00%,100.00%;KL31_02_cpsACP,100.00%,100.00%;KL31_03_wzi,100.00%,100.00%;KL31_04_wza,100.00%,100.00%;KL31_05_wzb,100.00%,100.00%;KL31_06_wzc,100.00%,100.00%;KL31_07_wctG,100.00%,100.00%;KL31_08_wcuP,100.00%,100.00%;KL31_09_wzy,100.00%,100.00%;KL31_10_wcuC,100.00%,100.00%;KL31_11_wbaZ,100.00%,100.00%;KL31_12_wcaJ,100.00%,100.00%;KL31_13_wctH,100.00%,100.00%;KL31_14_wctI,100.00%,100.00%;KL31_15_wzx,100.00%,100.00%;KL31_16_wcuJ,100.00%,100.00%;KL31_17_gnd,99.79%,100.00%;KL31_18_manC,98.73%,100.00%;KL31_19_manB,99.12%,100.00%;KL31_20_ugd,99.48%,100.00%		0		2 / 20 (10.00%)	KL31_18_manC,98.94%,100.00%;KL31_19_manB,98.88%,98.25%	2	KL50_10,99.81%,100.00%;KL150_19_gmd,99.70%,100.00%		
ERS702127	KL29	K29	Typeable	+!	100.00%	100.00%	825 bp	17 / 17 (100.00%)	KL29_01_galF,100.00%,100.00%;KL29_02_cpsACP,100.00%,100.00%;KL29_03_wzi,100.00%,100.00%;KL29_04_wza,100.00%,100.00%;KL29_05_wzb,100.00%,100.00%;KL29_06_wzc,100.00%,100.00%;KL29_07_wbaP,100.00%,100.00%;KL29_08_wcuD,100.00%,100.00%;KL29_09_wcuE,100.00%,100.00%;KL29_10_wbaZ,100.00%,100.00%;KL29_11_wckG,100.00%,100.00%;KL29_12_wckH,100.00%,100.00%;KL29_13_wzx,100.00%,100.00%;KL29_14_glf,100.00%,100.00%;KL29_15_gnd,100.00%,100.00%;KL29_16_manC,100.00%,100.00%;KL29_17_manB,100.00%,21.71%,truncated		1	KL145_23_ugd,99.48%,100.00%	0 / 17 (0.00%)		1	KL150_19_gmd,84.73%,100.00%	KL29_17_manB,100.00%,21.71%,truncated	
ERS702128	KL46	K46	Typeable		95.11%	99.86%	-7 bp	20 / 20 (100.00%)	KL46_01_galF,100.00%,100.00%;KL46_02_cpsACP,93.30%,100.00%;KL46_03_wzi,96.87%,100.00%;KL46_04_wza,98.41%,100.00%;KL46_05_wzb,97.90%,100.00%;KL46_06_wzc,97.08%,100.00%;KL46_07_wcaJ,97.05%,99.16%;KL46_08_wcuD,89.20%,100.00%;KL46_09_wzy,95.02%,100.00%;KL46_10_wcuC,86.73%,100.25%;KL46_11_wcuI,90.80%,99.71%;KL46_12_wcuF,91.74%,100.00%;KL46_13_wcuV,91.59%,100.00%;KL46_14_wclT,95.15%,98.90%;KL46_15_wzx,92.90%,99.80%;KL46_16_wckQ,89.89%,100.00%;KL46_17_gnd,99.36%,100.00%;KL46_18_manC,99.36%,100.00%;KL46_19_manB,100.00%,100.00%;KL46_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.61%,99.21%;KL150_19_gmd,99.10%,100.00%		
ERS702129	KL56	Capsule null	Typeable	!	98.67%	99.94%	1 bp	21 / 21 (100.00%)	KL56_01_galF,98.99%,100.00%;KL56_02_cpsACP,95.22%,100.00%;KL56_03_wzi,98.33%,100.00%;KL56_04_wza,99.73%,100.00%;KL56_05_wzb,100.00%,100.00%;KL56_06_wzc,99.31%,100.00%;KL56_07_wcaJ,98.95%,100.00%;KL56_08_wckY,100.00%,100.00%;KL56_09_wcpK,98.87%,100.00%;KL56_10_wcpL,97.59%,100.00%;KL56_11_wcpM,97.78%,100.00%;KL56_12_wcuC,98.75%,100.00%;KL56_13_wzy,98.99%,27.82%,truncated;KL56_14_wzx,99.41%,100.00%;KL56_15_wcuJ,99.70%,100.00%;KL56_16_gnd,99.15%,100.00%;KL56_17_rmlB,98.31%,100.00%;KL56_18_rmlA,97.54%,98.62%;KL56_19_rmlD,98.65%,100.00%;KL56_20_rmlC,97.28%,100.00%;KL56_21_ugd,99.48%,100.00%		0		4 / 21 (19.05%)	KL56_17_rmlB,98.31%,100.00%;KL56_18_rmlA,97.54%,98.62%;KL56_19_rmlD,98.65%,100.00%;KL56_20_rmlC,97.27%,99.46%	1	KL150_19_gmd,98.50%,100.00%	KL56_13_wzy,98.99%,27.82%,truncated	
ERS702130	KL60	K60	Typeable		99.18%	100.00%	0 bp	20 / 20 (100.00%)	KL60_01_galF,99.33%,100.00%;KL60_02_cpsACP,95.69%,100.00%;KL60_03_wzi,97.27%,100.00%;KL60_04_wza,99.74%,100.00%;KL60_05_wzb,100.00%,100.00%;KL60_06_wzc,99.44%,100.00%;KL60_07_wzy,99.45%,100.00%;KL60_08_wcqW,98.93%,100.00%;KL60_09_wcaO,98.96%,100.00%;KL60_10_wbaZ,99.74%,100.00%;KL60_11_wcaJ,99.78%,100.00%;KL60_12_wcqX,99.46%,100.00%;KL60_13_wcqY,99.29%,100.00%;KL60_14_wcuH,99.64%,100.00%;KL60_15_wzx,99.79%,100.00%;KL60_16,99.10%,100.00%;KL60_17_gnd,99.57%,100.00%;KL60_18_manC,98.73%,100.00%;KL60_19_manB,100.00%,100.00%;KL60_20_ugd,99.74%,100.00%		0		2 / 20 (10.00%)	KL60_18_manC,98.73%,100.00%;KL60_19_manB,99.55%,98.03%	1	KL150_19_gmd,97.60%,100.00%		
ERS702131	KL63	K63	Typeable		99.81%	100.00%	-3 bp	19 / 20 (95.00%)	KL63_01_galF,100.00%,100.00%;KL63_02_cpsACP,100.00%,100.00%;KL63_03_wzi,100.00%,100.00%;KL63_04_wza,100.00%,100.00%;KL63_05_wzb,100.00%,100.00%;KL63_06_wzc,100.00%,100.00%;KL63_07_wbaP,100.00%,100.00%;KL63_08_wcsD,100.00%,100.00%;KL63_09_wzx,100.00%,100.00%;KL63_10_wzy,100.00%,100.00%;KL63_11_wcsE,100.00%,100.00%;KL63_12_gmd,100.00%,100.00%;KL63_13_wcaG,100.00%,100.00%;KL63_14,100.00%,100.00%;KL63_15_wcaI,100.00%,100.00%;KL63_16,100.00%,100.00%;KL63_17_gnd,99.79%,100.00%;KL63_18_manC,98.30%,100.00%;KL63_19_manB,99.12%,100.00%;KL63_20_ugd,98.97%,100.00%		0		0 / 20 (0.00%)		4	KL40_03_wcpO,98.38%,100.00%;KL40_04,99.25%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,98.20%,100.00%		
ERS702132	KL65	K65	Typeable	-+	99.19%	94.34%	10425 bp	20 / 21 (95.24%)	KL65_01_galF,100.00%,100.00%;KL65_02_cpsACP,100.00%,112.24%;KL65_03_wzi,100.00%,100.00%;KL65_04_wza,100.00%,100.00%;KL65_05_wzb,100.00%,100.00%;KL65_06_wzc,100.00%,100.00%;KL65_07_wzy,100.00%,100.00%;KL65_08_wcuC,100.00%,100.00%;KL65_09_wcuE,100.00%,100.00%;KL65_10_wcuO,100.00%,100.00%;KL65_11_wbaZ,100.00%,100.00%;KL65_12_wcaJ,100.00%,100.00%;KL65_13_wzx,100.00%,100.00%;KL65_14_wcuN,100.00%,100.00%;KL65_15_wcuS,100.00%,100.00%;KL65_16_rmlA,100.00%,100.00%;KL65_17_rmlC,100.00%,100.00%;KL65_18_rmlD,100.00%,100.00%;KL65_19_gnd,95.83%,100.00%;KL65_20_manC,87.90%,100.00%	KL65_21_manB	1	KL160_21_ugd,99.48%,100.00%	0 / 21 (0.00%)		5	KL135_18_rmlB,92.94%,100.00%;KL150_19_gmd,86.75%,99.40%;KL72_17_rmlD,94.93%,100.00%;KL79_18_rmlA,94.81%,100.00%;KL44_20_rmlC,94.54%,99.46%		
ERS702133	KL66	Capsule null	Typeable	!	99.89%	99.31%	638 bp	19 / 20 (95.00%)	KL66_01_galF,100.00%,100.00%;KL66_02_cpsACP,100.00%,100.00%;KL66_03_wzi,100.00%,100.00%;KL66_04_wza,100.00%,100.00%;KL66_05_wzb,100.00%,59.72%,truncated;KL66_06_wzc,100.00%,100.00%;KL66_07_wbaP,100.00%,100.00%;KL66_08_wcuI,100.00%,100.00%;KL66_09_wzy,100.00%,100.00%;KL66_10_wckC,100.00%,100.00%;KL66_11_wcuD,100.00%,100.00%;KL66_12,100.00%,100.00%;KL66_13_wbaZ,100.00%,100.00%;KL66_14_wzx,100.00%,100.00%;KL66_15,100.00%,100.00%;KL66_16_wcqF,100.00%,100.00%;KL66_17_gnd,100.00%,100.00%;KL66_18_manC,100.00%,100.00%;KL66_19_manB,100.00%,100.00%;KL66_20_ugd,100.00%,89.33%,truncated;KL66_20_ugd,97.78%,10.44%,truncated		0		0 / 20 (0.00%)		1	KL150_19_gmd,86.54%,97.90%	KL66_05_wzb,100.00%,59.72%,truncated;KL66_20_ugd,100.00%,89.33%,truncated;KL66_20_ugd,97.78%,10.44%,truncated	
ERS706552	KL8	K8	Typeable		99.93%	100.00%	0 bp	18 / 18 (100.00%)	KL8_01_galF,100.00%,100.00%;KL8_02_cpsACP,100.00%,100.00%;KL8_03_wzi,100.00%,100.00%;KL8_04_wza,100.00%,100.00%;KL8_05_wzb,99.31%,100.00%;KL8_06_wzc,99.72%,100.00%;KL8_07_wzy,100.00%,100.00%;KL8_08_wcsG,100.00%,100.00%;KL8_09_wcsH,100.00%,100.00%;KL8_10_wcsI,100.00%,100.00%;KL8_11_wcsJ,100.00%,100.00%;KL8_12_wcsK,100.00%,100.00%;KL8_13_wcsL,100.00%,100.00%;KL8_14_wcsM,100.00%,100.00%;KL8_15_wzx,100.00%,100.00%;KL8_16_wcaJ,100.00%,100.00%;KL8_17_gnd,100.00%,100.00%;KL8_18_ugd,99.74%,100.00%		0		0 / 18 (0.00%)		4	KL40_03_wcpO,97.77%,100.00%;KL40_04,99.00%,100.00%;KL40_05_rfaG,99.47%,100.00%;KL150_19_gmd,99.40%,100.00%		
ERS706553	KL10	K10	Typeable		98.66%	99.97%	-11 bp	20 / 20 (100.00%)	KL10_01_galF,99.33%,100.00%;KL10_02_cpsACP,94.74%,100.00%;KL10_03_wzi,97.29%,100.00%;KL10_04_wza,100.00%,100.00%;KL10_05_wzb,99.31%,100.00%;KL10_06_wzc,99.72%,100.00%;KL10_07_wbaP,100.00%,100.00%;KL10_08_wclQ,99.73%,100.00%;KL10_09_wclP,100.00%,100.00%;KL10_10_wzx,99.60%,100.00%;KL10_11_wcuQ,99.75%,100.00%;KL10_12_wcaN,97.09%,100.00%;KL10_13_wcuK,98.52%,100.00%;KL10_14_wzy,98.77%,100.00%;KL10_15_wcsO,95.29%,100.00%;KL10_16_wbaZ,98.96%,100.00%;KL10_17_gnd,99.15%,100.00%;KL10_18_manC,98.94%,100.00%;KL10_19_manB,97.37%,100.00%;KL10_20_ugd,99.74%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,97.35%,99.21%;KL150_19_gmd,99.40%,100.00%		
ERS706554	KL12	K12	Typeable		99.93%	100.00%	0 bp	23 / 23 (100.00%)	KL12_01_galF,99.66%,100.00%;KL12_02_cpsACP,100.00%,100.00%;KL12_03_wzi,100.00%,100.00%;KL12_04_wza,100.00%,100.00%;KL12_05_wzb,100.00%,100.00%;KL12_06_wzc,99.58%,100.00%;KL12_07_wbaP,100.00%,100.00%;KL12_08_wcaA,100.00%,100.00%;KL12_09_wclN,100.00%,100.00%;KL12_10_wclM,100.00%,100.00%;KL12_11,100.00%,100.00%;KL12_12_wzy,100.00%,100.00%;KL12_13_wckF,100.00%,100.00%;KL12_14_wckG,100.00%,100.00%;KL12_15_wckH,100.00%,100.00%;KL12_16_wzx,100.00%,100.00%;KL12_17_glf,100.00%,100.00%;KL12_18_gnd,100.00%,100.00%;KL12_19_rmlB,99.72%,100.00%;KL12_20_rmlA,100.00%,100.00%;KL12_21_rmlD,100.00%,100.00%;KL12_22_rmlC,99.46%,100.00%;KL12_23_ugd,100.00%,100.00%		0		0 / 23 (0.00%)		2	KL40_05_rfaG,97.88%,99.21%;KL150_19_gmd,98.80%,100.00%		
ERS706555	KL13	K13	Typeable		99.95%	100.00%	0 bp	19 / 19 (100.00%)	KL13_01_galF,100.00%,100.00%;KL13_02_cpsACP,100.00%,100.00%;KL13_03_wzi,100.00%,100.00%;KL13_04_wza,100.00%,100.00%;KL13_05_wzb,100.00%,100.00%;KL13_06_wzc,100.00%,100.00%;KL13_07_wcuD,100.00%,100.00%;KL13_08_wclX,99.74%,100.00%;KL13_09_wzy,100.00%,100.00%;KL13_10_wcuF,100.00%,100.00%;KL13_11_wzx,100.00%,100.00%;KL13_12_wcuL,99.68%,100.00%;KL13_13_wcoW,100.00%,100.00%;KL13_14,99.65%,100.00%;KL13_15_wcaJ,100.00%,100.00%;KL13_16_gnd,100.00%,100.00%;KL13_17_manC,100.00%,100.00%;KL13_18_manB,100.00%,100.00%;KL13_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,99.47%,49.47%;KL150_19_gmd,100.00%,100.00%		
ERS706556	KL51	K51	Typeable		99.99%	100.00%	0 bp	16 / 16 (100.00%)	KL51_01_galF,100.00%,100.00%;KL51_02_cpsACP,100.00%,100.00%;KL51_03_wzi,100.00%,100.00%;KL51_04_wza,100.00%,100.00%;KL51_05_wzb,100.00%,100.00%;KL51_06_wzc,100.00%,100.00%;KL51_07_wcaJ,100.00%,100.00%;KL51_08_wcpB,100.00%,100.00%;KL51_09_wzy,100.00%,100.00%;KL51_10_wcuF,100.00%,100.00%;KL51_11_wcpA,100.00%,100.00%;KL51_12_wzx,100.00%,100.00%;KL51_13,99.88%,100.00%;KL51_14_wcoZ,100.00%,100.00%;KL51_15_gnd,100.00%,100.00%;KL51_16_ugd,100.00%,100.00%		0		0 / 16 (0.00%)		4	KL50_10,99.43%,100.00%;KL43_17_manC,99.79%,100.00%;KL30_19_manB,99.78%,98.29%;KL150_19_gmd,98.80%,100.00%		
ERS715399	KL30	K30	Typeable		99.93%	100.00%	0 bp	20 / 20 (100.00%)	KL30_01_galF,100.00%,100.00%;KL30_02_cpsACP,100.00%,100.00%;KL30_03_wzi,100.00%,100.00%;KL30_04_wza,100.00%,100.00%;KL30_05_wzb,100.00%,100.00%;KL30_06_wzc,100.00%,100.00%;KL30_07_wcuL,100.00%,100.00%;KL30_08_wzx,100.00%,100.00%;KL30_09_wcuD,100.00%,100.00%;KL30_10_wzy,100.00%,100.00%;KL30_11_wckP,100.00%,100.00%;KL30_12_wckO,100.00%,100.00%;KL30_13_wckN,100.00%,100.00%;KL30_14,100.00%,100.00%;KL30_15_wcuG,100.00%,100.00%;KL30_16_wcaJ,100.00%,100.00%;KL30_17_gnd,99.79%,100.00%;KL30_18_manC,99.58%,100.00%;KL30_19_manB,99.79%,100.00%;KL30_20_ugd,99.48%,100.00%		0		0 / 20 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,99.10%,100.00%		
ERS715400	KL55	K55	Typeable		98.78%	99.93%	15 bp	20 / 20 (100.00%)	KL55_01_galF,98.66%,100.00%;KL55_02_cpsACP,93.78%,100.00%;KL55_03_wzi,98.53%,100.00%;KL55_04_wza,100.00%,100.00%;KL55_05_wzb,100.00%,100.00%;KL55_06_wzc,99.45%,100.00%;KL55_07_wcaA,99.67%,100.00%;KL55_08_wcaJ,99.57%,100.00%;KL55_09_wcpH,99.25%,100.00%;KL55_10_wcpI,99.55%,100.00%;KL55_11_wzy,98.35%,100.00%;KL55_12_wcpJ,98.39%,100.00%;KL55_13_wzx,99.28%,100.00%;KL55_14,98.59%,100.00%;KL55_15_gnd,99.79%,100.00%;KL55_16_rmlB,98.87%,100.00%;KL55_17_rmlA,98.60%,98.62%;KL55_18_rmlD,98.99%,100.00%;KL55_19_rmlC,96.20%,100.00%;KL55_20_ugd,100.00%,100.00%		0		0 / 20 (0.00%)		3	KL154_17_manC,99.36%,100.00%;KL49_18_manB,100.00%,3.85%;KL150_19_gmd,99.10%,100.00%		
ERS715401	KL58	K58	Typeable		97.02%	100.05%	20 bp	22 / 22 (100.00%)	KL58_01_galF,98.99%,100.00%;KL58_02_cpsACP,93.78%,100.00%;KL58_03_wzi,97.27%,100.00%;KL58_04_wza,99.47%,100.00%;KL58_05_wzb,97.20%,100.00%;KL58_06_wzc,98.33%,100.00%;KL58_07_wzx,98.14%,100.00%;KL58_08_wclY,95.38%,100.00%;KL58_09_wzy,97.20%,100.87%;KL58_10_wcqS,94.38%,100.00%;KL58_11_wcqT,95.89%,100.00%;KL58_12,95.08%,100.00%;KL58_13_wcqU,98.34%,100.00%;KL58_14_gmd,99.46%,100.00%;KL58_15_wcaG,95.65%,100.00%;KL58_16_gmm,93.42%,100.00%;KL58_17_wcaI,91.09%,100.00%;KL58_18_wcaJ,96.36%,100.00%;KL58_19_gnd,99.57%,100.00%;KL58_20_manC,99.58%,100.00%;KL58_21_manB,100.00%,100.00%;KL58_22_ugd,99.74%,100.00%		0		2 / 22 (9.09%)	KL58_20_manC,100.00%,100.00%;KL58_21_manB,99.78%,98.25%	1	KL150_19_gmd,98.50%,100.00%		
ERS715409	KL34	K34	Typeable		99.98%	99.99%	6 bp	17 / 19 (89.47%)	KL34_01_galF,100.00%,100.00%;KL34_02_cpsACP,100.00%,100.00%;KL34_03_wzi,100.00%,100.00%;KL34_04_wza,100.00%,100.00%;KL34_05_wzb,100.00%,100.00%;KL34_06_wzc,100.00%,100.00%;KL34_07_wcaA,100.00%,100.00%;KL34_08_wcaJ,100.00%,100.00%;KL34_09_rmlB,100.00%,100.00%;KL34_10_rmlA,100.00%,100.00%;KL34_11_rmlC,100.00%,100.00%;KL34_12_rmlD,100.00%,100.00%;KL34_13_wzy,100.00%,100.00%;KL34_14_wclL,100.00%,100.00%;KL34_15,100.00%,100.00%;KL34_16,100.00%,100.00%;KL34_17,99.56%,100.00%;KL34_18_gnd,100.00%,100.00%;KL34_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.15%,99.74%;KL150_19_gmd,98.80%,100.00%		
ERS715410	KL38	K38	Typeable		99.53%	100.00%	773 bp	16 / 17 (94.12%)	KL38_01_galF,99.66%,100.00%;KL38_02_cpsACP,100.00%,100.00%;KL38_03_wzi,97.08%,100.42%;KL38_04_wza,99.21%,100.00%;KL38_05_wzb,100.00%,100.00%;KL38_06_wzc,99.72%,100.00%;KL38_07_wcaJ,99.58%,100.00%;KL38_08_wzy,99.76%,100.00%;KL38_09_wctM,99.64%,100.00%;KL38_10_wcaN,100.00%,100.00%;KL38_11_wzx,99.54%,100.00%;KL38_12_wckS,100.00%,100.00%;KL38_13_wckR,99.71%,100.00%;KL38_14,98.75%,100.00%;KL38_15,99.65%,99.83%;KL38_16_gnd,100.00%,100.00%;KL38_17_ugd,99.74%,100.00%		0		0 / 17 (0.00%)		2	KL150_19_gmd,98.50%,100.00%;KL40_05_rfaG,98.19%,87.11%		
ERS715468	KL22	K22	Typeable		99.94%	100.00%	0 bp	14 / 18 (77.78%)	KL22_01_galF,100.00%,100.00%;KL22_02_cpsACP,100.00%,100.00%;KL22_03_wzi,100.00%,100.00%;KL22_04_wza,100.00%,100.00%;KL22_05_wzb,100.00%,100.00%;KL22_06_wzc,99.72%,100.00%;KL22_07_wzy,100.00%,100.00%;KL22_08,100.00%,100.00%;KL22_09,99.66%,100.00%;KL22_10_wfeD,100.00%,100.00%;KL22_11_wzx,100.00%,100.00%;KL22_12_rutE,100.00%,100.00%;KL22_13,100.00%,100.00%;KL22_14,99.76%,100.00%;KL22_15_wcaJ,100.00%,100.00%;KL22_16_gnd,99.79%,100.00%;KL22_17,100.00%,100.00%;KL22_18_ugd,100.00%,100.00%		0		0 / 18 (0.00%)		2	KL40_05_rfaG,97.10%,99.74%;KL150_19_gmd,98.50%,100.00%		
ERS715469	KL47	K47	Typeable		100.00%	100.00%	1 bp	19 / 19 (100.00%)	KL47_01_galF,100.00%,100.00%;KL47_02_cpsACP,100.00%,100.00%;KL47_03_wzi,100.00%,100.00%;KL47_04_wza,100.00%,100.00%;KL47_05_wzb,100.00%,100.00%;KL47_06_wzc,100.00%,100.00%;KL47_07_wcaJ,100.00%,100.00%;KL47_08_wcaA,100.00%,100.00%;KL47_09,100.00%,100.00%;KL47_10_wcqC,100.00%,100.00%;KL47_11_wzy,100.00%,100.00%;KL47_12_wcuT,100.00%,100.00%;KL47_13_wzx,100.00%,100.00%;KL47_14_gnd,100.00%,100.00%;KL47_15_rmlB,100.00%,100.00%;KL47_16_rmlA,100.00%,100.00%;KL47_17_rmlD,100.00%,100.00%;KL47_18_rmlC,100.00%,100.00%;KL47_19_ugd,100.00%,100.00%		0		0 / 19 (0.00%)		2	KL40_05_rfaG,98.41%,99.21%;KL150_19_gmd,99.40%,100.00%		
ERS715470	KL49	K49	Typeable	+	100.00%	100.00%	832 bp	18 / 18 (100.00%)	KL49_01_galF,100.00%,100.00%;KL49_02_cpsACP,100.00%,100.00%;KL49_03_wzi,100.00%,100.00%;KL49_04_wza,100.00%,100.00%;KL49_05_wzb,100.00%,100.00%;KL49_06_wzc,100.00%,100.00%;KL49_07_wbaP,100.00%,100.00%;KL49_08_wzy,100.00%,100.00%;KL49_09_wcuI,100.00%,100.00%;KL49_10_wcuF,100.00%,100.00%;KL49_11_wclK,100.00%,100.00%;KL49_12_wclW,100.00%,100.00%;KL49_13_wzx,100.00%,100.00%;KL49_14_wcpF,100.00%,100.00%;KL49_15,100.00%,100.00%;KL49_16_gnd,100.00%,100.00%;KL49_17_manC,100.00%,100.00%;KL49_18_manB,100.00%,100.00%		1	KL57_18_ugd,99.74%,100.00%	2 / 18 (11.11%)	KL49_17_manC,100.00%,100.00%;KL49_18_manB,99.78%,98.29%	0			
